,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
474,475,Nill,Central,FTR,Faisalabad,Satellite Town Sargodha,Satellite Town Sargodha,Mehar Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
475,476,Nill,Central,FTR,Faisalabad,Satellite Town Sargodha,Satellite Town Sargodha,Shah Muhammad Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
476,477,Nill,Central,LTR-N,Lahore,Ferozepur Road,DHA Lahore ZTE,"Statelife, Banker Society",Nil,,,,,,,,Nill,Nill,,,,,,,,
477,478,Nill,South,QTR,Quetta,Brewry Road,Brewry Road,Hazara Colony,1379-3G-S-2954-4G-S-142954,30.18862,66.95898,Yes,Fiberized,Covered,-,-,-,"FAT-38,FDH-201",,0,,,,,,
478,479,Nill,South,QTR,Quetta,Brewry Road,Brewry Road,Hazara Colony,7023-3G-S-3060-4G-S-143060,30.18129,66.95591,Yes,Fiberized,Covered,-,-,-,"FAT-3, FDH-204",,0,,,,,,
479,480,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 07,6325-3G-S-2626-4G-S-142626,24.93526,67.15494,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1803  523  49-72,,,,,,
480,481,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 07,9540-3G-S-2167-4G-S-142167,24.93314,67.15449,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1804  500  73-96,,,,,,
481,482,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,PIA Housing Scheme/ Block 09,9362-3G-S-2144-4G-S-142144,24.91845,67.14411,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1806,,,,,,,,
482,483,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 07,9221-3G-S-2111-4G-S-142111,24.93874,67.15681,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1803  523  49-72,,,,,,
483,484,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 07,1033-3G-S-2010-4G-S-142010,24.93753,67.14996,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1801  510  1-24,,,,,,
484,485,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 20,6191-3G-S-2627-4G-S-142627,24.90681,67.11313,Yes,Fiberized,Covered,-,-,-,FDH 1606,,FDH-1606  488  121-144,,,,,,
485,486,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 20,6165-3G-S-2637-4G-S-142637,24.90569,67.11414,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1701,,,,,,,,
486,487,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block 10-A,9280-3G-S-3111-4G-S-143111,24.90727,67.11113,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1605,,,,,,,,
487,488,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,"NIPA 
Chowrangi",9122-3G-S-2419-4G-S-142419,24.92239,67.10374,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1707  235  121-144,,,,,,
488,489,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,"NIPA 
Chowrangi",6023-3G-S-4669-4G-S-144669,24.91845,67.10274,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1705  388  73-96,,,,,,
489,490,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,Under Same Polygon of 'Gulistan-e-Jauhar'',24.90778,67.12061,Yes,,,,,Nill,Nill,,,,,,,,
490,491,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,6114-3G-S-4685-4G-S-144685,24.90803,67.1209,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1505  532  97-120,,FDH-1505  532  97-120,,,,,,
491,492,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,9128-3G-S-4773-4G-S-144773,24.9068,67.11989,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1505  532  97-120,,FDH-1505  532  97-120,,,,,,
492,493,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,Under Same Polygon of 'Gulistan-e-Jauhar'',24.90739,67.11917,Yes,,,,,Nill,Nill,,,,,,,,
493,494,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,Under Same Polygon of 'Gulistan-e-Jauhar'',24.90913,67.1257,Yes,,,,,Nill,Nill,,,,,,,,
494,495,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,Under Same Polygon of 'Gulistan-e-Jauhar'',24.90955,67.12438,Yes,,,,,Nill,Nill,,,,,,,,
495,496,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,9543-3G-S-2592-4G-S-142592,24.90871,67.12413,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1503  479  49-72,,,,,,
496,497,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,6157-3G-S-2657,24.91062,67.12441,Yes,Fiberized,Covered,-,-,-,FDH 1501,,FDH-1501  512  1-24,,,,,,
497,498,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,6182-3G-S-2634-4G-S-142634,24.91033,67.12541,Yes,Fiberized,Covered,-,-,-,FDH 1506,,FDH-1506  496  121-144,,,,,,
498,499,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,6181-3G-S-2664-4G-S-142664,24.90944,67.12542,Yes,Fiberized,Covered,-,-,-,GFH 1506,,FDH-1506  496  121-144,,,,,,
499,500,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-18,Gulistan-e-Jauhar,24.91119,67.12499,Yes,Fiberized,Covered,-,-,Nearest FAT 29,FDH 1501,,FDH-1501  512  1-24,,,,,,
500,501,Nill,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Block-19,6199-3G-S-2292-4G-S-142292,24.90697,67.12888,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1401  510  1-12,,,,,,
501,502,Nill,South,KTR-2,Karachi,KAP,KAP,Tariq Bin Ziyad,1065-3G-S-2208-4G-S-142208,24.89246,67.17324,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3003  270,,,,,,
502,503,Nill,South,KTR-2,Karachi,KAP,KAP,KAP,9265-3G-S-2119-4G-S-142119,24.8814,67.15197,Yes,Fiberized,Covered,-,-,Nearest FAT 35,FDH 1004,,FDH-1003  511,,,,,,
503,504,Nill,South,KTR-2,Karachi,KAP,KAP,KAP,6453-3G-S-2056-4G-S-142056,24.88324,67.1475,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1001,,,,,,,,
504,505,Nill,South,KTR-2,Karachi,KAP,KAP,CAA Colony,1035-3G-S-4652-4G-S-144652,24.88783,67.1495,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3001  100,,,,,,
505,506,Nill,South,KTR-2,Karachi,KAP,KAP,Greater Karsaz/ NHS,Under Same Polygon of 'Greater Karsaz/ NHS.,24.89319,67.08787,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-3002  503  F7-24,,,,,,,,
506,507,Nill,South,KTR-2,Karachi,KAP,KAP,Greater Karsaz/ NHS,9178-3G-S-2448-4G-S-142448,24.89353,67.08672,Yes,Fiberized,Covered,-,-,-,FDH 3002,,FDH-3002  503  F7-24,,,,,,
507,508,Nill,Central,LTR-S,Lahore,Townshiip,Townshiip,Sector A,7160-3G-CI-4369-4G-CI-124369,31.45334,74.3152,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,,,,,,,
508,509,Nill,Central,LTR-S,Lahore,Townshiip,Townshiip,Sector A,1660-3G-CI-1904-4G-CI-121904,31.45684,74.31688,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,,,,,,,
509,510,Nill,North,ITR,Islamabad,Tarlai,Tarlai,Shaheen Town,,33.64144,73.21529,Yes,Fiberized,Covered,,,Feasiblity fron nearest FAT 01,"FDH 402,FAT 01",,Work in progress,,,,,,
510,511,Nill,Central,FTR,Faisalabad,Jhang Road Faisalabad,Jhang Road Faisalabad,Rehmania Town,4003-3G-CII-3681,31.40467,73.06445,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed /Project yet to be kick off,,,,,,,,
511,512,Nill,North,RTR,Jhelum,SIE Jhelum,SIE Jhelum,"Ring 1
(KALA GUJRAN Jhelum)",8885-3G-N-2747-4G-N-112747,32.97539902,73.6964035,Yes,Fiberized,Covered,-,-,Yes,FDH-107/FAT-26,,,,,,,,
512,513,Nill,North,RTR,Jhelum,SIE Jhelum,SIE Jhelum,"Ring 1
(KALA GUJRAN Jhelum)",2206-3G-N-2073-4G-N-112073,32.97320175,73.69329834,Yes,Fiberized,Covered,-,-,Yes,FDH-108/FAT-03,,,,,,,,
513,514,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS,9070-3G-S-2394-4G-S-142394,24.86035,67.0647000000001,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1010,,,,,,,,
514,515,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS & Sindhi Muslim C.H Society,3018-3G-S-4877-4G-S-144877,24.8581477871702,67.0597292465459,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1011,,,,,,,,
515,516,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS & Sindhi Muslim C.H Society,6414-3G-S-2320-4G-S-142320,24.8565193477493,67.0574431478587,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1011,,,,,,,,
516,517,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS,9269-3G-S-2122-4G-S-142122,24.86141,67.0689700000001,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1012,,,,,,,,
517,518,Nill,South,KTR-2,Karachi,PECHS,PECHS,Karachi Admin Society,6066-3G-S-3087-4G-S-143087,24.8609689278308,67.0850647605968,Yes,Fiberized,Covered,-,-,Nearest FAT 23,FDH 1102,,FDH-1102  C537  F,,,,,,
518,519,Nill,South,KTR-2,Karachi,PECHS,PECHS,Karachi Admin Society,6764-3G-S-2363-4G-S-142363,24.8579217218144,67.0791753554211,Yes,Fiberized,Covered,-,-,Nearest FAT 20,FDH 1102,,FDH-1102  C537  F,,,,,,
519,520,Nill,South,KTR-2,Karachi,PECHS,PECHS,Karachi Admin Society,9060-3G-S-2391-4G-S-142391,24.860353222641,67.0817776595014,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1105  C570  F,,,,,,
520,521,Nill,South,KTR-2,Karachi,PECHS,PECHS,Karachi Admin Society,Under Same Polygon of 'Karachi Admin Society',24.859976494736,67.0820164821363,Yes,,,,,Nill,Nill,,,,,,,,
521,522,Nill,South,KTR-2,Karachi,PECHS,PECHS,Karachi Admin Society,Under Same Polygon of 'Karachi Admin Society',24.860526608746,67.0830028648957,Yes,,,,,Nill,Nill,,,,,,,,
522,523,Nill,South,KTR-2,Karachi,PECHS,PECHS,E Market PECHS & Block 6 PECHS,6062-3G-S-2284-4G-S-142284,24.855342531566,67.0638692332885,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1202,,,,,,,,
523,524,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS,9423-3G-S-2549-4G-S-142549,24.8568383441299,67.0704741371412,Yes,Fiberized,Covered,-,-,-,FDH 1203,,FDH-1203  C404  F,,,,,,
524,525,Nill,South,KTR-2,Karachi,PECHS,PECHS,Block 6 PECHS,9006-3G-S-2369-4G-S-142369,24.8603200000001,67.07428,Yes,Fiberized,Covered,-,-,-,FDH 1203,,FDH-1203  C404  F,,,,,,
525,526,Nill,North,NTR-2,Peshawar,Warsak Road,Warsak Road,Warsak-II: Executive Lodges And Darmangi,5255-3G-N-2873-4G-N-112873,34.04089129,71.52608066,Yes,Fiberized,Covered,-,-,Feasibility From FDH-207 FAT-22,Feasibility From FDH-207 FAT-22,,,,,,,,
526,527,Nill,North,HTR,Abbottabad,Usmanabad  Exchange,Usmanabad  Exchange,Police Officer Colony,4274-3G-N-1700-4G-N-111700,34.2189,73.24208,Yes,Fiberized,Covered,-,-,FAT-53 FDH-307 OFFCIER COLONY ,Nill,,,,,,,,
527,528,Nill,North,HTR,Abbottabad,Usmanabad  Exchange,Usmanabad  Exchange,Usmanabad,3066-3G-N-2474-4G-N-112474,34.21072,73.22859,Yes,Fiberized,Covered,-,-,FAT-27 FDH-402 USMANABAD,Nill,,,,,,,,
528,529,Nill,North,RTR,Dina,Dina,Dina,NEAR PTCL EXCHANGE MANGLA ROAD,2247-3G-N-2141-4G-N-112141,33.0273,73.6058,Yes,Fiberized,Covered,-,-,Yes,FDH-101/FAT-19,,,,,,,,
529,530,Nill,North,RTR,Dina,Dina,Dina,NEAR AL BADAR ELECTRONICS,4394-3G-N-2750-4G-N-112750,33.0315,73.6076,Yes,Fiberized,Covered,-,-,Yes,FDH-107/FAT-16,,,,,,,,
530,531,Nill,North,RTR,Dina,Dina,Dina,NEAR PAK KITAB GHAR DATA ROAD,2240-3G-N-2074-4G-N-112074,33.032,73.6017,Yes,Fiberized,Covered,-,-,Yes,FDH-201/FAT-43,,,,,,,,
531,532,Nill,North,ITR,Rawalpindi,Gulraiz,Gulraiz,"Corner  Streeet# 6, Quaid e Azam  Avenue, Phase-3, Gulraiz.",80743G-N-12794G-N-111279,33.56319,73.10617,Yes,Fiberized,Covered,-,-,-,FDH-304  FAT-04 GULRAIZ Rawalpindi,,FDH-304  FAT-04 GULRAIZ Rawalpindi,,,,,,
532,533,Nill,North,NTR-1,Batkhela,Batkhela,Batkhela,Batkhela FF,Batkhela,34.6081,71.9546,Yes,Fiberized,Covered,-,-,Feasbility from FDH 101,Execution In Progress,,,,,,,,
533,534,Nill,North,NTR-1,Batkhela,Batkhela,Batkhela,Batkhela FF,Batkhelaaa,34.6158,71.9726,Yes,Fiberized,Covered,-,-,Feasbility from FDH 101,fdh 101,,,,,,,,
534,535,Nill,Central,MTR,Vehari,Vehari,Vehari,Sirhind Colony,4661-3G-CII-3529-4G-CII-133529,30.039916,72.342262,Yes,Fiberized,Covered,-,-,-,Completed by FDH-3002 FAT-35,,,,,,,,
535,536,Nill,North,HTR,Manshera,Manshera Ghazi kot Township Exchange,Manshera Ghazi kot Township Exchange,Pakwal & Fauji Foundation,2784-3G-N-1550-4G-N-111550,34.32745,73.18812,Yes,Fiberized,Covered,-,-,FAT-17 FDH-307 MANSEHRA,Nill,,,,,,,,
536,537,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,Malik Society,9252-3G-S-2118-4G-S-142118,24.95035241,67.1064908,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-4001  472  1-24,,,,,,
537,538,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,Malik Society,6248-3G-S-4705-4G-S-144705,24.9481061,67.10936087,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-4002  417  25-48,,,,,,
538,539,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,Malik Society,9337-3G-S-2135-4G-S-142135,24.95278,67.11319,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-5004  477  61-84,,,,,,
539,540,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,Bismillah Villas,9394-3G-S-2148-4G-S-142148,24.94543718,67.14939964,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-6001  270  1-12,,,,,,
540,541,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,"Zehara Nager,Al Muslim, Haroon Benglows, Haroon Phase 1&2",6761-3G-S-3288-4G-S-143288,24.9411,67.15237,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-6004  397  61-84,,,,,,
541,542,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,"Rizvia Cooperative Housing Society, RCHS",9197-3G-S-2452-4G-S-142452,24.9529448,67.14744078,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-7002  311  25-36,,,,,,
542,543,Nill,South,KTR-3,Karachi,Gulzar-e-Hajri,Gulzar-e-Hajri,Mehran Banglowa,7913-3G-S-3702-4G-S-143702,24.95427391,67.16078589,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-7003  261  37-48,,,,,,
543,544,Nill,North,NTR-2,Kohat,Kohat road,Kohat road,Ringroad Royal Cars,2178-3G-N-1232-4G-N-111232,33.968862,71.538836,Yes,Fiberized,Covered,,,feasibility from nearest FAT,FAT-48 FDH104 Ring Road,,,,,,,,
544,545,Nill,North,NTR-2,Kohat,Kohat road,Kohat road,Ringroad Hazar Khwani Chowk,,33.983828,71.574976,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
545,546,Nill,North,NTR-2,DIK,"Ring 02
(Multan Road CTX Exchange DIK)","Ring 02
(Multan Road CTX Exchange DIK)",Muryali Mor,CII-2846-3G-CII-1110-4G-CII-131110,31.7965,70.878,Yes,Fiberized,Covered,-,-,feasibility from nearest FAT,FDH-204 (FAT-04),,,,,,,,
546,547,Nill,North,NTR-1,Nowshera,Nowshera,Nowshera,By Pass Road,2405-3G-N-1545-4G-N-111545,34.00106,72.00077,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
547,548,Nill,South,HYTR,Tando Jam,Tandojam,Tandojam,MIR COLONY TANDO JAM,1729-3G-S-1920-4G-S-141920,25.425055,68.526,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 03,Fat -03,,,,,,,,
548,549,Nill,Central,FTR,Faisalabad,CTX Faisalabad,CTX Exchange,Minerva Club GOR-1,,,,Yes,,,,,Nill,Nill,,,,,,,,
549,550,Nill,Central,FTR,Faisalabad,CTX Faisalabad,CTX Exchange,"Church , Civil Lines",,,,Yes,,,,,Nill,Nill,,,,,,,,
550,551,Nill,Central,LTR-S,Lahore,Mustafa Town,Mustafa Town,Tech Society,7588-3G-CI-1030-4G-CI-121030,31.48576,74.28579,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
551,552,Nill,Central,LTR-S,Lahore,Mustafa Town,Mustafa Town,Kamran Block,7101-3G-CI-4341-4G-CI-124341,31.49913,74.27325,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,,,,,,,
552,553,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 08,9368-3G-S-2522-4G-S-142522,24.91871473,67.07048676,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-2003  C384  F25-40,,,,,,
553,554,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,"Block 02, 08",1014-3G-S-2182-4G-S-142182,24.91591667,67.06533333,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-2005  C295  F53-64,,,,,,
554,555,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 02,Under Same Polygon of 'Azizabad Exchange Block 02'',24.91594572,67.06189011,Yes,Non Fiberized,Not Covered,-,-,-,Nill,,,,,,,,1.0
555,556,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,"Block 02, 08",6556-3G-S-2347-4G-S-142347,24.91978046,67.06581289,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-2008  C316  F89-100,,,,,,
556,557,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 02,6557-3G-S-2348-4G-S-142348,24.91341297,67.06175819,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-3002  C336  F25-36,,,,,,
557,558,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 10,9373-3G-S-2527-4G-S-142527,24.92861326,67.06349985,Yes,Fiberized,Covered,-,-,-,FDH 6001,,FDH-6001  C538  F1-24,,,,,,
558,559,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 10,9431-3G-S-2554-4G-S-142554,24.93465,67.06418,Yes,Fiberized,Covered,-,-,Feasibility from Neaest FAT 22,FDH 6003,,FDH-6003  C316  F49-60,,,,,,
559,560,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 13,6086-3G-S-4684-4G-S-144684,24.93822,67.06658,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-6004  C308  F61-72,,,,,,
560,561,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 13,9147-3G-S-2431-4G-S-142431,24.94044307,67.06928793,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-6005  C277  F73-84,,,,,,
561,562,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 13,Under Same Polygon of 'Azizabad Exchange Block 13'',24.93807576,67.06716161,Yes,Non Fiberized,Not Covered,-,-,-,Nill,,,,,,,,1.0
562,563,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 22,6569-3G-S-2063-4G-S-142063,24.95628644,67.08244462,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-6006  C300  F85-96,,,,,,
563,564,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 22,"Under Same Polygon of ""Azizabad Exchange Block 22''",24.95541704,67.08238701,Yes,Non Fiberized,Not Covered,-,-,-,Nill,,,,,,,,1.0
564,565,Nill,South,KTR-3,Karachi,Azizabad Exchange,Azizabad Exchange,Block 13,1046-3G-S-2195-4G-S-142195,24.93287426,67.07024665,Yes,Fiberized,Covered,-,-,Feasibility from Neaest FAT 22,FDH 6008,,FDH-6008  C505  F109-132,,,,,,
565,566,Nill,South,HYTR,Hyderabad,Bhitai Nagar,Bhitai Nagar,"Gulistan e Muhammad, Shoro Goth Rehman Cottage",95493G-S-1102-4G-S-141102,25.42876358,68.3406935,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 20,Fat-20,,,,,,,,
566,567,Nill,South,KTR-1,Karachi,Cantt Exchange,Cantt Exchange,"Lalazar, Beach Luxury &  Port Grand",9645,24.84485292,66.99678753,Yes,Fiberized,Covered,-,-,-,FDH 1002,,FDH-1002  C399  F31-48,,,,,,
567,568,Nill,South,KTR-1,Karachi,Cantt Exchange,Cantt Exchange,"Lalazar, Beach Luxury &  Port Grand","Under Same Polygon of ""Lalazar, Beach Luxury &  Port Grand""",24.84483441,66.99687146,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1002,,,,,,,,
568,569,Nill,South,KTR-1,Karachi,Cantt Exchange,Cantt Exchange,NORE-I,"Under Same Polygon of ""Cantt Exchange NORE-I""",24.84383083,67.00307434,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1001,,,,,,,,
569,570,Nill,South,KTR-1,Karachi,Cantt Exchange,Cantt Exchange,"Lalazar, Beach Luxury &  Port Grand",1009-3G-S-2179-4G-S-142179,24.84461562,66.99531862,Yes,Fiberized,Covered,-,-,-,FDH 1002,,FDH-1002  C399  F31-48,,,,,,
570,571,Nill,South,KTR-1,Karachi,Cantt Exchange,Cantt Exchange,NORE-I,6473-3G-S-4432-4G-S-144432,24.84373,67.00305,Yes,Fiberized,Covered,-,-,-,FDH 1001,,FDH-1001  C572  F1-30,,,,,,
571,572,Nill,South,KTR-3,Karachi,Gulshan-e-Iqbal,Gulshan-e-Iqbal,National Cement Employe Society,9158-3G-S-2102-4G-S-142102,24.91008463,67.10647282,Yes,Fiberized,Covered,-,-,Feasibility from Neaest FAT 22,FDH 8005,,FDH-8005  485C  63-82,,,,,,
572,573,Nill,South,KTR-3,Karachi,Gulshan-e-Iqbal,Gulshan-e-Iqbal,"Gulshan-e-Iqbal, Block-6",3816-3G-S-4912-4G-S-144912,24.92377741,67.09767769,Yes,Fiberized,-,-,-,-,FDH-9004 / FAT32,,,,,,,,
573,574,Nill,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,Chaudary Town/Habib Colony,2010-3G-CII-3453-4G-CII-133453,29.39422,71.64843,Yes,Fiberized,Covered,-,-,-,Completed by FDH-503 FAT-01,,,,,,,,
574,575,Nill,South,KTR-1,Karachi,Marston Road,Marston Road,Gul Plaza,"Under Same Polygon of ""Marston Road Gul Plaza",24.86466919,67.02361881,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1005,,,,,,,,
575,576,Nill,South,KTR-1,Karachi,Marston Road,Marston Road,Gul Plaza,"Under Same Polygon of ""Marston Road Gul Plaza",24.86465579,67.02359939,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1005,,,,,,,,
576,577,Nill,South,KTR-1,Karachi,Marston Road,Marston Road,Gul Plaza,9588,24.86467,67.02359,Yes,Fiberized,Covered,-,-,-,FDH 1005,,FDH-1005  C150  F73-84,,,,,,
577,578,Nill,South,KTR-1,Karachi,Marston Road,Marston Road,Gul Plaza,9363-3G-S-2145-4G-S-142145,24.86777219,67.02323335,Yes,Fiberized,Covered,-,-,-,FDH 1006,,FDH-1006  C251  F85-104,,,,,,
578,579,Nill,South,KTR-1,Karachi,Marston Road,Marston Road,Gul Plaza,"Under Same Polygon of ""Marston Road Gul Plaza",24.86454334,67.02277557,Yes,Fiberized,Covered,-,-,Feasibility from nearest FAT,FDH-1005,,,,,,,,
579,580,Nill,Central,LTR-S,Lahore,Thokar Niaz Baig/Pasco,Thokar Niaz Baig/Pasco,Muhafiz Town  and Rajput Town,3168-3G-CI-4863-4G-CI-124863,31.45041933,74.21501432,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,,,,,,,
580,581,Nill,Central,MTR,Multan,CTX Exchange Multan,CTX Exchange Multan,Jamilabad Colony,,,,Yes,,,,,Nill,Nill,,,,,,,,
581,582,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8329,33.7037812,73.05622361,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
582,583,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8328-3G-N-1446,33.70310462,73.05578781,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
